Sharp Shots,$100,Can pop 1 extra Bloon per shot.,"Gains +1 pierce, for 3 pierce by default. With Crossbow Master, gains +6 pierce instead."
Razor Sharp Shots,$200,Can pop 2 more bloons per shot.,"Gains +2 pierce, for 5 pierce by default. With Crossbow Master, gains +7 pierce instead."
Spike-O-Pult,$300,"Converts into a Spike-o-pult that hurls large spiked balls. Good range, but slower attack speed. Each ball can pop lots of Bloons","Hurls spiked balls that pop up to 22 bloons per shot, deal +1 damage to Ceramics, bounce off obstacles, and pop Frozen. Attacks slightly slower (1.15s instead of 0.95s)."
Juggernaut,$1800,Hurls a giant spiked ball that pops lead and excels at crushing Ceramic Bloons.,"Hurls juggernaut balls that pop up to 50 bloons per shot, pop all Bloons except Camo, deal 2 damage and +2 to Ceramics, have 15% more range, and gain extra projectile speed. Attacks slightly faster (1s instead of 1.15s)."
Ultra-Juggernaut,$13500,Gigantic spiked ball splits twice into 6 Juggernaut balls for even more destructive power.,"Hurls gigantic juggernaut balls that each deal 5 damage, 13 to Ceramics, have 200 pierce, travel faster, and split twice into 6 regular pre-rework juggernaut balls for even more damage. Can rehit the same bloons again if the main projectile hits any walls."
Quick Shots,$100,Shoots 15% faster.,Attacks +17.6% faster (0.85x attack cooldown).
Very Quick Shots,$190,Shoots 33% faster!,Attacks +50% faster (attack cooldown from 0.85x to 0.67x (~2/3x)).
Triple Shot,$350,Throws 3 darts at a time instead of 1.,"Throws 3 darts per attack, in a 60� spread."
Super Monkey Fan Club,$8000,Super Monkey Fan Club Ability: Converts up to 10 nearby Dart Monkeys including himself into Super Monkeys for 15 seconds.,"Gains an ability that transforms itself and up to 9 of the nearest non-special Dart Monkeys into Super Monkeys, which have 40 range. Cannot affect catapult-operating Dart Monkeys nor crossbow wielders nor the Plasma Monkey Fan Club. Attacks 1.5x as fast as a basic Dart Monkey (attack cooldown from 0.67x to 0.5025x (~1/2)."
Plasma Monkey Fan Club,$45000,Elite membership of this club grants the Dart Monkeys even more power.,"Ability now transforms the club leader and up to 20 of the nearest non-special Dart Monkeys into Super Monkeys that shoot plasma blasts instead of darts. The plasma attacks twice as fast, deals 2 damage per tick and has 5 pierce."
